ID	Hospedador	Especie
AM279670	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279671	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279672	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279673	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM849549	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AY196904	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AY264774	bacteria	Podoviridae,T7virus,Escherichia virus T7
AY264775	bacteria	Podoviridae,T7virus,Escherichia virus T7
AY264776	bacteria	Podoviridae,T7virus,Escherichia virus T7
AY264777	bacteria	Podoviridae,T7virus,Escherichia virus T7
AY264778	bacteria	Podoviridae,T7virus,Escherichia virus T7
AY751298	bacteria	Microviridae,G4microvirus,Escherichia virus G4
AY949771	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87255	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87262	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87263	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87708	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87709	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87710	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87711	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D87714	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
D90601	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
DQ079896	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079897	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079898	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079899	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079900	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079901	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079902	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079903	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079904	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079905	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079906	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079907	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ079909	bacteria	Microviridae,G4microvirus,Escherichia virus G4
DQ343289	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
DQ399290	fungi	Endornaviridae,Betaendornavirus,Gremmeniella abietina betaendornavirus 1
EU582020	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
FJ174694	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
FJ515274	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
FM179615	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
FM877803	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
FN179279	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
FR751147	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
GQ303262	bacteria	Myoviridae,Bxz1virus,Mycobacterium virus Bxz1
GQ398110	plants	Caulimoviridae,Badnavirus,Pineapple bacilliform CO virus
GU071091	bacteria	Podoviridae,T7virus,Escherichia virus T7
GU247134	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
